epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.018501950427889824,0.05970216542482376,0.009350459091365337,0.047633908689022064
1,0.0010000000474974513,0.011421041563153267,0.04260348156094551,0.017575513571500778,0.10965876281261444
2,0.0010000000474974513,0.00995609350502491,0.04036707431077957,0.020772922784090042,0.11773928254842758
3,0.0010000000474974513,0.008798976428806782,0.036168526858091354,0.007397756911814213,0.05974578112363815
4,0.0010000000474974513,0.0074710785411298275,0.03230726718902588,0.00858419481664896,0.06691013276576996
5,0.0010000000474974513,0.007165340706706047,0.031573861837387085,0.005029956344515085,0.04334832355380058
6,0.0010000000474974513,0.006424424704164267,0.029758736491203308,0.004532898776233196,0.038559652864933014
7,0.0010000000474974513,0.005811429116874933,0.028265099972486496,0.003759350161999464,0.031112240627408028
8,0.0010000000474974513,0.005744497291743755,0.02666449546813965,0.005122161936014891,0.045519351959228516
9,0.0010000000474974513,0.005126758478581905,0.026450976729393005,0.0048047760501503944,0.03618009015917778
10,0.0010000000474974513,0.005048901773989201,0.0269467793405056,0.005833411123603582,0.038969021290540695
11,0.0010000000474974513,0.0051549384370446205,0.027195539325475693,0.004964577965438366,0.035887815058231354
12,0.0010000000474974513,0.004642922431230545,0.024696949869394302,0.005332603119313717,0.03749724105000496
13,0.0005000000237487257,0.004171254578977823,0.023588119074702263,0.005208612885326147,0.039727408438920975
14,0.0005000000237487257,0.004313627257943153,0.023908104747533798,0.004129860084503889,0.029816852882504463
15,0.0005000000237487257,0.004147958941757679,0.023530511185526848,0.0036657704040408134,0.02942216768860817
16,0.0005000000237487257,0.0037978217005729675,0.02231491729617119,0.004806714132428169,0.03543204814195633
17,0.0005000000237487257,0.0037307352758944035,0.02280830405652523,0.004981072619557381,0.03681604191660881
